,Type,Name,X,Y,Z,Width,PavementType,OnStructure,AutoVolume,AutoSpeedMph,MediumTruckVolume,MediumTruckSpeedMph,HeavyTruckVolume,HeavyTruckSpeedMph,BusVolume,BusSpeedMph,MotorcycleVolume,MotorcycleSpeedMph,ControlDevice,AffectedVehicles,ConstraintSpeedMph
0,Roadway,121N04350,-9526287.876074258,4624352.817169677,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
1,Roadway,121N04350,-9526391.403200695,4624313.090119479,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
2,Roadway,121N04350,-9526493.817132227,4624269.106778572,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
3,Roadway,121N04350,-9526559.495631795,4624237.892908787,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
4,Roadway,121N04350,-9526657.456783693,4624188.234674776,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
5,Roadway,121N04350,-9526748.738766143,4624137.157884155,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
6,Roadway,121N04350,-9526843.360333318,4624080.406192003,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
7,Roadway,121N04350,-9526965.81177319,4623999.535571615,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
8,Roadway,121N04350,-9527086.036823247,4623924.340652849,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
9,Roadway,121N04350,-9527221.846602013,4623837.796237973,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
10,Roadway,121N04350,-9527497.91893918,4623661.872130552,1,12,Average,False,1983.3843778991497,62.889748,70.56465098342439,60.18673,206.86246224561648,60.18673,18.64665489274028,60.18673,5.7297983328765865,61.169685,,100,0
0,Roadway,121+04401,-9523636.245803561,4621905.633453215,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
1,Roadway,121+04401,-9523690.792354051,4621949.606691938,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
2,Roadway,121+04401,-9523711.9430573,4621965.210144392,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
3,Roadway,121+04401,-9523807.677819384,4622043.227761547,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
4,Roadway,121+04401,-9523912.31814073,4622126.920044794,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
5,Roadway,121+04401,-9524042.56194496,4622230.472455996,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
6,Roadway,121+04401,-9524154.994630659,4622311.329172796,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
7,Roadway,121+04401,-9524212.880765872,4622348.211394964,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
8,Roadway,121+04401,-9524298.596773783,4622399.279305434,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
9,Roadway,121+04401,-9524380.97319697,4622443.254653645,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
10,Roadway,121+04401,-9524428.84057801,4622465.9516810905,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
11,Roadway,121+04401,-9524520.122560462,4622508.508742489,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
12,Roadway,121+04401,-9524689.328186467,4622583.693314432,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
13,Roadway,121+04401,-9524958.721354187,4622705.692090657,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
14,Roadway,121+04401,-9525183.586725589,4622809.250326433,1,12,Average,False,1825.8890225435505,64.11452,63.317629197039786,62.626034,190.39048066664677,62.626034,17.441736875510266,62.626034,5.934584997336113,63.10685,,100,0
0,Roadway,121P04401,-9525183.586725589,4622809.250326433,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
1,Roadway,121P04401,-9525275.981902946,4622856.064665502,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
2,Roadway,121P04401,-9525392.86736828,4622922.740000971,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
3,Roadway,121P04401,-9525487.488935454,4622985.159855537,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
4,Roadway,121P04401,-9525616.619544776,4623078.790347404,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
5,Roadway,121P04401,-9525780.25919624,4623196.538993653,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
6,Roadway,121P04401,-9525848.164085625,4623246.192441184,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
7,Roadway,121P04401,-9525888.23910231,4623273.147270193,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
8,Roadway,121P04401,-9525996.21900838,4623351.174804879,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
9,Roadway,121P04401,-9526067.463482488,4623403.666388434,1,12,Average,False,1938.496605396924,61.673084,68.9676383038156,60.365696,202.1807700592703,60.365696,18.224645517210444,60.365696,5.600122064919777,61.013603,,100,0
0,Roadway,121+04402,-9526067.463482488,4623403.666388434,1,12,Average,False,2137.466600275299,58.705517,76.04657287707167,57.703873,222.93288624621704,57.703873,20.09524854799423,57.703873,6.174926403226683,58.17178,,100,0
1,Roadway,121+04402,-9526179.89616819,4623484.5323250145,1,12,Average,False,2137.466600275299,58.705517,76.04657287707167,57.703873,222.93288624621704,57.703873,20.09524854799423,57.703873,6.174926403226683,58.17178,,100,0
2,Roadway,121+04402,-9526271.17815064,4623549.793017984,1,12,Average,False,2137.466600275299,58.705517,76.04657287707167,57.703873,222.93288624621704,57.703873,20.09524854799423,57.703873,6.174926403226683,58.17178,,100,0
3,Roadway,121+04402,-9526325.724701129,4623589.517120727,1,12,Average,False,2137.466600275299,58.705517,76.04657287707167,57.703873,222.93288624621704,57.703873,20.09524854799423,57.703873,6.174926403226683,58.17178,,100,0
0,Roadway,121P04402,-9526362.460133089,4623615.054124914,1,12,Average,False,2012.0995670146438,60.892895,71.58627710917018,61.02066,209.8573909092028,61.02066,18.91661881278665,61.02066,5.812753631181631,61.15551,,100,0
1,Roadway,121P04402,-9526451.515725723,4623680.315645818,1,12,Average,False,2012.0995670146438,60.892895,71.58627710917018,61.02066,209.8573909092028,61.02066,18.91661881278665,61.02066,5.812753631181631,61.15551,,100,0
2,Roadway,121P04402,-9526708.663749456,4623866.171375745,1,12,Average,False,2012.0995670146438,60.892895,71.58627710917018,61.02066,209.8573909092028,61.02066,18.91661881278665,61.02066,5.812753631181631,61.15551,,100,0
3,Roadway,121P04402,-9526777.681833748,4623914.409289571,1,12,Average,False,2012.0995670146438,60.892895,71.58627710917018,61.02066,209.8573909092028,61.02066,18.91661881278665,61.02066,5.812753631181631,61.15551,,100,0
4,Roadway,121P04402,-9526903.472858345,4623999.535571615,1,12,Average,False,2012.0995670146438,60.892895,71.58627710917018,61.02066,209.8573909092028,61.02066,18.91661881278665,61.02066,5.812753631181631,61.15551,,100,0
5,Roadway,121P04402,-9526970.26455282,4624040.680193775,1,12,Average,False,2012.0995670146438,60.892895,71.58627710917018,61.02066,209.8573909092028,61.02066,18.91661881278665,61.02066,5.812753631181631,61.15551,,100,0
0,Roadway,121N04402,-9527113.866695944,4624080.406192003,1,12,Average,False,1782.8319062368712,57.55564,61.82450749526062,51.679077,185.90079648073245,51.679077,17.03043537582045,51.679077,5.7946388596972485,53.96886,,100,0
1,Roadway,121N04402,-9526965.81177319,4623999.535571615,1,12,Average,False,1782.8319062368712,57.55564,61.82450749526062,51.679077,185.90079648073245,51.679077,17.03043537582045,51.679077,5.7946388596972485,53.96886,,100,0
2,Roadway,121N04402,-9526900.13327362,4623958.39111401,1,12,Average,False,1782.8319062368712,57.55564,61.82450749526062,51.679077,185.90079648073245,51.679077,17.03043537582045,51.679077,5.7946388596972485,53.96886,,100,0
3,Roadway,121N04402,-9526733.154037433,4623842.052503649,1,12,Average,False,1782.8319062368712,57.55564,61.82450749526062,51.679077,185.90079648073245,51.679077,17.03043537582045,51.679077,5.7946388596972485,53.96886,,100,0
4,Roadway,121N04402,-9526516.081030384,4623685.990580243,1,12,Average,False,1782.8319062368712,57.55564,61.82450749526062,51.679077,185.90079648073245,51.679077,17.03043537582045,51.679077,5.7946388596972485,53.96886,,100,0
0,Roadway,121-04401,-9526457.081700264,4623642.009920323,1,12,Average,False,2104.249502526202,56.44955,72.97053002345416,55.01795,219.41589509663666,55.01795,20.100764991926006,55.01795,6.839324501194391,55.602,,100,0
1,Roadway,121-04401,-9526314.592752049,4623538.443302513,1,12,Average,False,2104.249502526202,56.44955,72.97053002345416,55.01795,219.41589509663666,55.01795,20.100764991926006,55.01795,6.839324501194391,55.602,,100,0
2,Roadway,121-04401,-9526241.121888127,4623484.5323250145,1,12,Average,False,2104.249502526202,56.44955,72.97053002345416,55.01795,219.41589509663666,55.01795,20.100764991926006,55.01795,6.839324501194391,55.602,,100,0
0,Roadway,121-04349,-9527497.91893918,4623661.872130552,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
1,Roadway,121-04349,-9527620.370379055,4623583.842239517,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
2,Roadway,121-04349,-9527735.02945457,4623510.069068615,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
3,Roadway,121-04349,-9527814.066293035,4623457.576942201,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
4,Roadway,121-04349,-9527965.460800514,4623359.686935372,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
5,Roadway,121-04349,-9528202.571315903,4623207.888331962,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
6,Roadway,121-04349,-9528433.002661845,4623058.929262778,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
7,Roadway,121-04349,-9528731.33889717,4622868.832249487,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
8,Roadway,121-04349,-9529027.44874268,4622678.738748172,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
9,Roadway,121-04349,-9529253.427308992,4622534.043063809,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
10,Roadway,121-04349,-9529440.444053523,4622412.046322651,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
11,Roadway,121-04349,-9529598.51773045,4622311.329172796,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
12,Roadway,121-04349,-9529683.120543452,4622257.424624339,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
13,Roadway,121-04349,-9529779.968500445,4622196.427712678,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
14,Roadway,121-04349,-9529845.647000011,4622159.546034519,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
15,Roadway,121-04349,-9529913.551889395,4622128.338563935,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
16,Roadway,121-04349,-9529982.569973687,4622101.386733685,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
17,Roadway,121-04349,-9530053.814447796,4622078.690510328,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
18,Roadway,121-04349,-9530128.398506628,4622061.6683756625,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
19,Roadway,121-04349,-9530559.204935996,4621977.976623088,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
20,Roadway,121-04349,-9530758.466824517,4621939.677234512,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
21,Roadway,121-04349,-9530876.465484757,4621914.144387981,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
22,Roadway,121-04349,-9530952.162738496,4621894.285551143,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
23,Roadway,121-04349,-9531065.708619107,4621857.40495583,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
24,Roadway,121-04349,-9531214.87673677,4621802.08431068,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
25,Roadway,121-04349,-9531319.517058115,4621753.856298567,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
26,Roadway,121-04349,-9531455.326836882,4621681.514704168,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
27,Roadway,121-04349,-9531521.00533645,4621643.216418886,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
28,Roadway,121-04349,-9531738.078343498,4621502.790592193,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
29,Roadway,121-04349,-9531989.66039269,4621341.090498582,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
30,Roadway,121-04349,-9532110.998637654,4621263.078204043,1,12,Average,False,2051.924356461204,65.32001,71.1560143791193,63.28615,213.95980790444253,63.28615,19.60093098319365,63.28615,6.669255004644055,64.08419,,100,0
